,Pressure
290,1240.5833333333335
291,1240.5833333333335
292,1240.7583333333332
293,1240.7583333333332
294,1240.9333333333334
295,1240.9333333333334
296,1240.5833333333335
297,1240.9333333333334
298,1241.05
299,1240.5833333333335
300,1240.5833333333335
301,1240.9333333333334
302,1240.9333333333334
303,1240.9333333333334
304,1240.7583333333332
305,1240.7583333333332
306,1240.9333333333334
307,1241.05
308,1240.9333333333334
309,1241.05
310,1240.9333333333334
311,1241.05
312,1241.05
313,1241.225
314,1241.225
315,1240.9333333333334
316,1240.9333333333334
317,1241.225
318,1241.4
319,1241.05
320,1241.225
321,1240.9333333333334
322,1240.9333333333334
323,1241.05
324,1241.05
325,1241.05
326,1240.9333333333334
327,1241.225
328,1240.5833333333335
329,1240.9333333333334
330,1240.7583333333332
331,1241.05
332,1240.7583333333332
333,1240.9333333333334
334,1240.9333333333334
335,1241.05
336,1240.7583333333332
337,1241.05
338,1240.9333333333334
339,1241.225
340,1241.225
341,1241.4
342,1241.05
343,1241.05
344,1241.5166666666667
345,1241.225
346,1241.4
347,1241.4
348,1241.05
349,1241.4
350,1241.05
351,1241.5166666666667
352,1241.4
353,1241.05
354,1241.4
355,1241.4
356,1241.4
357,1241.225
358,1241.5166666666667
359,1241.5166666666667
360,1241.225
361,1241.4
362,1241.6916666666666
363,1241.6916666666666
364,1241.5166666666667
365,1241.5166666666667
366,1241.4
367,1241.4
368,1241.6916666666666
369,1241.5166666666667
370,1241.6916666666666
371,1241.5166666666667
372,1241.6916666666666
373,1241.4
374,1241.5166666666667
375,1241.5166666666667
376,1242.1583333333333
377,1241.5166666666667
378,1241.8666666666668
379,1241.5166666666667
380,1241.6916666666666
381,1241.6916666666666
382,1241.6916666666666
383,1241.5166666666667
384,1241.9833333333333
385,1241.8666666666668
386,1241.8666666666668
387,1241.6916666666666
388,1241.8666666666668
389,1241.6916666666666
390,1241.6916666666666
391,1241.5166666666667
392,1241.5166666666667
393,1241.8666666666668
394,1241.8666666666668
395,1241.8666666666668
396,1241.8666666666668
397,1241.5166666666667
398,1241.5166666666667
399,1241.8666666666668
400,1241.6916666666666
401,1241.9833333333333
402,1241.8666666666668
403,1241.6916666666666
404,1241.8666666666668
405,1241.8666666666668
406,1241.9833333333333
407,1241.8666666666668
408,1241.9833333333333
409,1241.9833333333333
410,1241.5166666666667
411,1241.8666666666668
412,1242.1583333333333
413,1241.9833333333333
414,1241.9833333333333
415,1241.9833333333333
416,1241.9833333333333
417,1241.9833333333333
418,1242.1583333333333
419,1242.3333333333335
420,1242.1583333333333
421,1242.5083333333332
422,1242.3333333333335
423,1242.1583333333333
424,1242.625
425,1242.5083333333332
426,1242.3333333333335
427,1242.1583333333333
428,1242.5083333333332
429,1242.3333333333335
430,1242.1583333333333
431,1242.625
432,1243.0916666666667
433,1242.625
434,1243.0916666666667
435,1243.0916666666667
436,1242.975
437,1242.8
438,1243.0916666666667
439,1242.975
440,1243.2666666666667
441,1243.0916666666667
442,1243.4416666666666
443,1243.2666666666667
444,1243.4416666666666
445,1243.0916666666667
446,1243.2666666666667
447,1243.0916666666667
448,1243.2666666666667
449,1242.975
450,1242.975
451,1243.4416666666666
452,1243.2666666666667
453,1243.5583333333334
