,AP689,AG083,AZ649,CA186,CA969,AP707
131,1038.675,1038.5,1038.5,1038.625,1038.625,1038.625
132,1038.8,1038.625,1038.5,1038.625,1038.625,1038.75
133,1038.8,1038.625,1038.625,1038.625,1038.5,1038.75
134,1038.925,1038.625,1038.625,1038.5,1038.625,1038.75
135,1039.0,1038.5,1038.625,1038.625,1038.75,1038.75
136,1038.875,1038.625,1038.5,1038.75,1038.75,1038.7
137,1038.8,1038.75,1038.625,1038.75,1038.75,1038.625
138,1038.8,1038.75,1038.75,1038.75,1038.75,1038.7
139,1038.875,1038.75,1038.75,1038.75,1038.7,1038.675
140,1038.75,1038.75,1038.75,1038.7,1038.625,1038.575
141,1038.875,1038.7,1038.75,1038.625,1038.7,1038.675
142,1039.0,1038.625,1038.7,1038.7,1038.675,1038.8
143,1039.125,1038.7,1038.625,1038.675,1038.575,1038.8
144,1039.0,1038.675,1038.7,1038.575,1038.675,1038.925
145,1039.125,1038.575,1038.675,1038.675,1038.8,1039.0
146,1039.125,1038.675,1038.575,1038.8,1038.8,1038.875
147,1039.05,1038.8,1038.675,1038.8,1038.925,1038.8
148,1039.125,1038.8,1038.8,1038.925,1039.0,1038.8
149,1039.05,1038.925,1038.8,1039.0,1038.875,1038.875
150,1039.175,1039.0,1038.925,1038.875,1038.8,1038.75
151,1039.175,1038.875,1039.0,1038.8,1038.8,1038.875
152,1039.0,1038.8,1038.875,1038.8,1038.875,1039.0
153,1039.25,1038.8,1038.8,1038.875,1038.75,1039.125
154,1039.25,1038.875,1038.8,1038.75,1038.875,1039.0
155,1039.25,1038.75,1038.875,1038.875,1039.0,1039.125
156,1039.175,1038.875,1038.75,1039.0,1039.125,1039.125
157,1039.25,1039.0,1038.875,1039.125,1039.0,1039.05
158,1039.3,1039.125,1039.0,1039.0,1039.125,1039.125
159,1039.125,1039.0,1039.125,1039.125,1039.125,1039.05
160,1039.3,1039.125,1039.0,1039.125,1039.05,1039.175
161,1039.125,1039.125,1039.125,1039.05,1039.125,1039.175
162,1039.175,1039.05,1039.125,1039.125,1039.05,1039.0
163,1039.3,1039.125,1039.05,1039.05,1039.175,1039.25
164,1039.125,1039.05,1039.125,1039.175,1039.175,1039.25
165,1039.125,1039.175,1039.05,1039.175,1039.0,1039.25
166,1039.0,1039.175,1039.175,1039.0,1039.25,1039.175
167,1039.0,1039.0,1039.175,1039.25,1039.25,1039.25
168,1039.175,1039.25,1039.0,1039.25,1039.25,1039.3
169,1038.8,1039.25,1039.25,1039.25,1039.175,1039.125
170,1038.925,1039.25,1039.25,1039.175,1039.25,1039.3
171,1039.125,1039.175,1039.25,1039.25,1039.3,1039.125
172,1039.05,1039.25,1039.175,1039.3,1039.125,1039.175
173,1038.875,1039.3,1039.25,1039.125,1039.3,1039.3
174,1039.0,1039.125,1039.3,1039.3,1039.125,1039.125
175,1038.875,1039.3,1039.125,1039.125,1039.175,1039.125
176,1038.8,1039.125,1039.3,1039.175,1039.3,1039.0
177,1038.875,1039.175,1039.125,1039.3,1039.125,1039.0
178,1038.925,1039.3,1039.175,1039.125,1039.125,1039.175
179,1038.875,1039.125,1039.3,1039.125,1039.0,1038.8
180,1038.875,1039.125,1039.125,1039.0,1039.0,1038.925
181,1039.0,1039.0,1039.125,1039.0,1039.175,1039.125
182,1038.925,1039.0,1039.0,1039.175,1038.8,1039.05
183,1038.925,1039.175,1039.0,1038.8,1038.925,1038.875
